name,highBuy,lowBuy,highSell,lowSell,buyChange,sellChange,volumeSold,volumeBought,totalRecordedData,currentBuyPrice,currentSellPrice
"Potion of Long Leaping",24.5,24.5,13,13,0,0,1,1,129,24.5,13
"Pot of Gold",0,0,0,0,0,0,0,0,0,0,0
"Rare Fishing Bait",0,0,0,0,0,0,0,0,0,0,0
"Shield",0,0,0,0,0,0,0,0,0,0,0
"Paint Wall Shelf",147,147,0,0,0,0,0,0,266,147,0
"Ceiling Lamp (White)",0,0,0,0,0,0,0,0,0,0,0
"Brown/Silver Key",147,147,75,75,0,0,0,0,266,147,75
"Tavern Keg",73.5,73.5,0,0,0,0,0,0,266,73.5,0
"Pale Oak Slab",0.33687500000000004,0.33687500000000004,0,0,0,0,0,0,266,0.33687500000000004,0
"Diamond Helmet",4.760000000000002,4.760000000000002,0,0,0,0,0,0,266,4.760000000000002,0
"Flowering Azalea Leaves",0.30625,0.30625,0,0,0,0,0,0,266,0.30625,0
"String",1.3760441176470553,1.3617022623232846,1.2321295933597294,1.1992690058479558,0.010532299056649208,-0.02666974999010563,515,21,266,1.3760441176470553,1.1992690058479558
"Flint And Steel",0,0,0,0,0,0,0,0,0,0,0
"Sofa",112.0875,104.37,0,0,0,0,0,0,267,104.37,0
"Leaning United States Flag",24.5,24.5,0,0,0,0,0,0,267,24.5,0
"Pile of Golden Horseshoe",0,0,0,0,0,0,0,0,0,0,0
"Poisonous Potato",0.98,0.98,0,0,0,0,0,0,267,0.98,0
"Potato Soup",0,0,0,0,0,0,0,0,0,0,0
"Clover Wine",0,0,0,0,0,0,0,0,0,0,0
"Bowl",0,0,0.02,0.02,0,0,0,0,267,0,0.02
"ORIGIN-12",0,0,0,0,0,0,0,0,0,0,0
"Bike",73.5,73.5,0,0,0,0,0,3,267,73.5,0
"Hay Block",2.2050256410256406,2.2049999999999996,0.9825000000000002,0.9825000000000002,0.000011628582797129638,0,0,47,267,2.2050256410256406,0.9825000000000002
"Arrow",0.8440645161290316,0.8440645161290316,0.859173598553346,0.8582679221856443,0,0.0010552373714745045,9,0,267,0.8440645161290316,0.859173598553346
"Lime Shulker Box",34.300000000000004,34.300000000000004,0,0,0,0,0,1,267,34.300000000000004,0
"Tropical Fish",1.96,1.96,1.1666666666666667,1.1666666666666667,0,0,0,0,267,1.96,1.1666666666666667
"Bookstack",66.7625,66.7625,0,0,0,0,0,0,267,66.7625,0
"Jungle Wood",2.9280625000000002,2.9280625000000002,2,2,0,0,0,0,267,2.9280625000000002,2
"Display Screen",0,0,0,0,0,0,0,0,0,0,0
"Brain Coral",1.96,1.96,0,0,0,0,0,0,267,1.96,0
"Spruce Log",0.36727064564564654,0.3577382686084156,0.2957422182821119,0.2957422182821119,0.02664623223245144,0,71,192,267,0.36727064564564654,0.2957422182821119
"Cozy Garden Sofa Swing",73.5,73.5,0,0,0,0,0,0,267,73.5,0
"Standing Loom",0,0,0,0,0,0,0,0,0,0,0
"Mutton",6.173999999999998,6.173999999999998,1.899999999999999,1.899999999999999,0,0,72,0,267,6.173999999999998,1.899999999999999
"Black Terracotta",0,0,0,0,0,0,0,0,0,0,0
"Furnace",0,0,0,0,0,0,0,0,0,0,0
"Pancakes",0,0,0,0,0,0,0,0,0,0,0
"Brown Terracotta",0,0,0.5,0.5,0,0,0,0,267,0,0.5
"Azalea",0.5145000000000002,0.5145000000000002,0.3,0.3,0,0,0,0,267,0.5145000000000002,0.3
"Blue Orchid",0.9800000000000003,0.9800000000000003,0.75,0.75,0,0,0,0,267,0.9800000000000003,0.75
"Fox Spawn Egg",0,0,0,0,0,0,0,0,0,0,0
"Ironing Board",49,49,0,0,0,0,0,0,267,49,0
"MOGG Contester",784,784,0,0,0,0,0,0,267,784,0
"Garden Cart",73.5,73.5,0,0,0,0,0,0,267,73.5,0
"Stripped Dark Oak Log",0.1225,0.1225,0,0,0,0,0,0,267,0.1225,0
"Ancient Debris",4.8633760438840925,4.7570398712947535,4.833160902255646,4.828410752967969,0.022353433072566986,0.0009837914258241653,60,220,267,4.8633760438840925,4.833160902255646
"Table Towel (Black)",73.5,73.5,0,0,0,0,0,0,267,73.5,0
"Blacksmith Anvil",73.5,73.5,0,0,0,0,0,0,267,73.5,0
"Book Lamp",0,0,0,0,0,0,0,0,0,0,0
"Fish and Chips",0,0,0,0,0,0,0,0,0,0,0
"White Stained Glass",0.7349999999999997,0.7349999999999997,0,0,0,0,0,0,267,0.7349999999999997,0
"Green Terracotta",0.7643999999999999,0.7643999999999999,0,0,0,0,0,0,267,0.7643999999999999,0
"Pink Tulip",1.4700000000000004,1.4700000000000004,0.75,0.75,0,0,0,0,267,1.4700000000000004,0.75
"Netherite Helmet",72.39565245901639,72.36781176470588,60,60,0.00038471102016046643,0,0,4,267,72.39565245901639,60
"Truthfully",4.9,4.289473684210527,3,3,0,0,0,0,267,4.289473684210527,3
"Mud Bricks",4.9,4.9,0.46875,0.46875,0,0,0,0,267,4.9,0.46875
"Counter (White)",73.5,73.5,0,0,0,0,0,1,1,73.5,0
"Postcards stand",122.5,122.5,0,0,0,0,0,0,267,122.5,0
