name,highBuy,lowBuy,highSell,lowSell,buyChange,sellChange,volumeSold,volumeBought,totalRecordedData,currentBuyPrice,currentSellPrice
"Rare Fishing Bait",0,0,0,0,0,0,0,0,0,0,0
"Pot of Gold",0,0,0,0,0,0,0,0,0,0,0
"Shield",0,0,0,0,0,0,0,0,0,0,0
"Paint Wall Shelf",147,147,0,0,0,0,0,0,270,147,0
"Brown/Silver Key",147,147,75,75,0,0,0,0,270,147,75
"Ceiling Lamp (White)",0,0,0,0,0,0,0,0,0,0,0
"Tavern Keg",73.5,73.5,0,0,0,0,0,0,270,73.5,0
"Pale Oak Slab",0.33687500000000004,0.33687500000000004,0,0,0,0,0,0,270,0.33687500000000004,0
"Diamond Helmet",4.760000000000002,4.760000000000002,0,0,0,0,0,0,270,4.760000000000002,0
"Flowering Azalea Leaves",0.30625,0.30625,0,0,0,0,0,0,270,0.30625,0
"String",1.3739838056680136,1.3739838056680136,1.2122077922077947,1.2099601052542255,0,0.0018576537258923054,2,1,270,1.3739838056680136,1.2122077922077947
"Flint And Steel",0,0,0,0,0,0,0,0,0,0,0
"Sofa",104.37,104.37,0,0,0,0,0,0,270,104.37,0
"Leaning United States Flag",24.5,24.5,0,0,0,0,0,0,270,24.5,0
"Pile of Golden Horseshoe",0,0,0,0,0,0,0,0,0,0,0
"Poisonous Potato",0.98,0.98,0,0,0,0,0,0,270,0.98,0
"Potato Soup",0,0,0,0,0,0,0,0,0,0,0
"Clover Wine",0,0,0,0,0,0,0,0,0,0,0
"Bowl",0,0,0.02,0.02,0,0,0,0,270,0,0.02
"ORIGIN-12",0,0,0,0,0,0,0,0,0,0,0
"Bike",73.5,73.5,0,0,0,0,0,1,270,73.5,0
"Hay Block",2.2049999999999996,2.2049999999999996,0.9825000000000002,0.9825000000000002,0,0,0,0,270,2.2049999999999996,0.9825000000000002
"Arrow",0.8440645161290316,0.8440645161290316,0.8568144712430432,0.8568144712430432,0,0,35,0,270,0.8440645161290316,0.8568144712430432
"Lime Shulker Box",34.3,34.3,0,0,0,0,0,0,270,34.3,0
"Tropical Fish",1.96,1.96,1.1666666666666667,1.1666666666666667,0,0,0,0,270,1.96,1.1666666666666667
"Bookstack",73.5,73.5,0,0,0,0,0,0,270,73.5,0
"Jungle Wood",2.9280625000000002,2.9280625000000002,2,2,0,0,0,0,270,2.9280625000000002,2
"Display Screen",0,0,0,0,0,0,0,0,0,0,0
"Brain Coral",1.96,1.96,0,0,0,0,0,0,270,1.96,0
"Spruce Log",0.3572086065573784,0.35687662866449654,0.3012637867647059,0.3012637867647059,-0.0009293670300394297,0,128,128,270,0.35687662866449654,0.3012637867647059
"Cozy Garden Sofa Swing",73.5,73.5,0,0,0,0,0,0,271,73.5,0
"Standing Loom",0,0,0,0,0,0,0,0,0,0,0
"Mutton",6.173999999999998,6.173999999999998,1.899999999999999,1.899999999999999,0,0,0,0,271,6.173999999999998,1.899999999999999
"Black Terracotta",0,0,0,0,0,0,0,0,0,0,0
"Furnace",0,0,0,0,0,0,0,0,0,0,0
"Pancakes",0,0,0,0,0,0,0,0,0,0,0
"Brown Terracotta",0,0,0.5,0.5,0,0,0,0,271,0,0.5
"Azalea",0.5145000000000002,0.5145000000000002,0.3,0.3,0,0,0,0,271,0.5145000000000002,0.3
"Blue Orchid",0.9800000000000003,0.9800000000000003,0.75,0.75,0,0,0,0,271,0.9800000000000003,0.75
"Fox Spawn Egg",0,0,0,0,0,0,0,0,0,0,0
"Garden Cart",73.5,73.5,0,0,0,0,0,0,271,73.5,0
"MOGG Contester",784,784,0,0,0,0,0,0,271,784,0
"Ironing Board",49,49,0,0,0,0,0,0,271,49,0
"Stripped Dark Oak Log",0.1225,0.1225,0,0,0,0,0,0,271,0.1225,0
"Ancient Debris",4.723912213740447,4.723912213740447,4.803750000000006,4.803750000000006,0,0,0,0,271,4.723912213740447,4.803750000000006
"Fish and Chips",0,0,0,0,0,0,0,0,0,0,0
"Blacksmith Anvil",73.5,73.5,0,0,0,0,0,0,271,73.5,0
"Book Lamp",0,0,0,0,0,0,0,0,0,0,0
"Table Towel (Black)",73.5,73.5,0,0,0,0,0,0,271,73.5,0
"White Stained Glass",0.7349999999999997,0.7349999999999997,0,0,0,0,0,0,271,0.7349999999999997,0
"Green Terracotta",0.7643999999999999,0.7643999999999999,0,0,0,0,0,0,271,0.7643999999999999,0
"Pink Tulip",1.4700000000000004,1.4700000000000004,0.75,0.75,0,0,0,0,271,1.4700000000000004,0.75
"Netherite Helmet",72.32843130434782,72.32329284515636,60,60,0.0000710484673618339,0,0,2,271,72.32843130434782,60
"Truthfully",4.289473684210527,4.289473684210527,3,3,0,0,0,0,271,4.289473684210527,3
"Mud Bricks",4.9,4.9,0.46875,0.46875,0,0,0,0,271,4.9,0.46875
"Counter (White)",0,0,0,0,0,0,0,0,0,0,0
"Postcards stand",122.5,122.5,0,0,0,0,0,0,271,122.5,0
