name,highBuy,lowBuy,highSell,lowSell,buyChange,sellChange,volumeSold,volumeBought,totalRecordedData,currentBuyPrice,currentSellPrice
"Potion of Long Leaping",24.5,24.5,13,13,0,0,0,0,198,24.5,13
"Pot of Gold",0,0,0,0,0,0,0,0,0,0,0
"Rare Fishing Bait",0,0,0,0,0,0,0,0,0,0,0
"Shield",0.98,0.98,0,0,0,0,0,0,198,0.98,0
"Paint Wall Shelf",147,147,0,0,0,0,0,0,198,147,0
"Ceiling Lamp (White)",73.5,73.5,0,0,0,0,0,0,198,73.5,0
"Brown/Silver Key",147,147,75,75,0,0,0,0,198,147,75
"Tavern Keg",73.5,73.5,0,0,0,0,0,0,198,73.5,0
"Pale Oak Slab",0.24500000000000005,0.24500000000000005,0,0,0,0,0,0,198,0.24500000000000005,0
"Diamond Helmet",4.782400000000003,4.782400000000003,0,0,0,0,0,0,198,4.782400000000003,0
"String",1.335025280898874,1.3336974309291125,1.1028921741688757,1.0990038433111629,0.0009956156136468053,0.0035380502231419086,6,4,198,1.335025280898874,1.1028921741688757
"Flowering Azalea Leaves",0.30626623376623374,0.30626623376623374,0,0,0,0,0,0,198,0.30626623376623374,0
"Mangrove Stairs",0.398,0.398,0,0,0,0,0,5,130,0.398,0
"Flint And Steel",0,0,0,0,0,0,0,0,0,0,0
"Sofa",107.22352941176467,107.22352941176467,0,0,0,0,0,1,199,107.22352941176467,0
"Leaning United States Flag",24.5,24.5,0,0,0,0,0,0,199,24.5,0
"Pile of Golden Horseshoe",0,0,0,0,0,0,0,0,0,0,0
"Poisonous Potato",0.98,0.98,0,0,0,0,0,0,199,0.98,0
"Potato Soup",0,0,0,0,0,0,0,0,0,0,0
"Clover Wine",0,0,0,0,0,0,0,0,0,0,0
"Bowl",0,0,0.02,0.02,0,0,0,0,199,0,0.02
"ORIGIN-12",0,0,0,0,0,0,0,0,0,0,0
"Bike",73.5,73.5,0,0,0,0,0,4,199,73.5,0
"Hay Block",1.3847015306122439,1.3847015306122439,1.2060714285714282,1.2060714285714282,0,0,0,0,199,1.3847015306122439,1.2060714285714282
"Arrow",0.8599935897435893,0.8325905511811017,0.801246825396826,0.801246825396826,0.03291298449039459,0,0,29,199,0.8599935897435893,0.801246825396826
"Lime Shulker Box",34.300000000000004,34.300000000000004,0,0,0,0,0,0,199,34.300000000000004,0
"Tropical Fish",1.96,1.96,1.1666666666666667,1.1666666666666667,0,0,0,0,199,1.96,1.1666666666666667
"Soul Lantern",6.37,6.37,0,0,0,0,0,0,199,6.37,0
"Bookstack",73.5,73.5,0,0,0,0,0,0,199,73.5,0
"Jungle Wood",2.732325581395349,2.732325581395349,2,2,0,0,0,0,199,2.732325581395349,2
"Nether Brick Slab",1176,1176,0,0,0,0,0,0,199,1176,0
"Display Screen",0,0,0,0,0,0,0,0,0,0,0
"Blue Candle",4.16,4.16,0,0,0,0,0,0,199,4.16,0
"Brain Coral",1.9600000000000002,1.9600000000000002,1,1,0,0,0,0,199,1.9600000000000002,1
"Spruce Log",0.3240935880327844,0.3240561800914159,0.26938726059415097,0.26938726059415097,-0.00011542326683411375,0,0,128,199,0.3240561800914159,0.26938726059415097
"Cozy Garden Sofa Swing",73.5,73.5,0,0,0,0,0,1,199,73.5,0
"Standing Loom",0,0,0,0,0,0,0,0,0,0,0
"Mutton",4.488399999999998,4.488399999999998,1.8999999999999997,1.8999999999999997,0,0,0,0,199,4.488399999999998,1.8999999999999997
"Black Terracotta",0,0,0,0,0,0,0,0,0,0,0
"Furnace",0,0,0,0,0,0,0,0,0,0,0
"Pancakes",0,0,0,0,0,0,0,0,0,0,0
"Brown Terracotta",0,0,0.4558333333333333,0.4558333333333333,0,0,0,0,199,0,0.4558333333333333
"Azalea",0.5113043478260871,0.5113043478260871,0.3,0.3,0,0,0,0,199,0.5113043478260871,0.3
"Blue Orchid",0.9981481481481483,0.9800000000000002,0.75,0.75,-0.0181818176060915,0,0,2,199,0.9800000000000002,0.75
"Leaning China Flag",24.5,24.5,0,0,0,0,0,0,199,24.5,0
"Fox Spawn Egg",0,0,0,0,0,0,0,0,0,0,0
"MOGG Contester",784,784,0,0,0,0,0,1,199,784,0
"Ironing Board",49,49,0,0,0,0,0,1,199,49,0
"Garden Cart",73.5,73.5,0,0,0,0,0,0,199,73.5,0
"Stripped Dark Oak Log",0.12250000000000003,0.12250000000000003,0,0,0,0,0,0,199,0.12250000000000003,0
"Ancient Debris",4.9453931451612805,4.9453931451612805,4.883027692307699,4.881356250000008,0,0.0003424134920351207,8,0,199,4.9453931451612805,4.883027692307699
"Blacksmith Anvil",73.5,73.5,0,0,0,0,0,0,199,73.5,0
"Table Towel (Black)",73.5,73.5,0,0,0,0,0,0,199,73.5,0
"Fish and Chips",0,0,0,0,0,0,0,0,0,0,0
"Book Lamp",0,0,0,0,0,0,0,0,0,0,0
"White Stained Glass",0.7349999999999997,0.7349999999999997,0,0,0,0,0,0,199,0.7349999999999997,0
"Green Terracotta",0.35206499999999996,0.35206499999999996,0,0,0,0,0,0,199,0.35206499999999996,0
"Pink Tulip",1.1025000000000003,1.1025000000000003,0.75,0.75,0,0,0,15,199,1.1025000000000003,0.75
