name,highBuy,lowBuy,highSell,lowSell,buyChange,sellChange,volumeSold,volumeBought,totalRecordedData,currentBuyPrice,currentSellPrice
"Rare Fishing Bait",0,0,0,0,0,0,0,0,0,0,0
"Pot of Gold",0,0,0,0,0,0,0,0,0,0,0
"Shield",0,0,0,0,0,0,0,0,0,0,0
"Paint Wall Shelf",0,0,0,0,0,0,0,0,0,0,0
"Ceiling Lamp (White)",0,0,0,0,0,0,0,0,0,0,0
"Brown/Silver Key",147,147,75,75,0,0,0,0,284,147,75
"Tavern Keg",73.5,73.5,0,0,0,0,0,0,284,73.5,0
"Pale Oak Slab",0.98,0.98,0,0,0,0,0,0,284,0.98,0
"Flowering Azalea Leaves",0.30624999999999997,0.30624999999999997,0,0,0,0,0,0,284,0.30624999999999997,0
"Diamond Helmet",4.736666666666668,4.736666666666668,0,0,0,0,0,0,284,4.736666666666668,0
"String",1.3629490445859878,1.3443818181818195,1.3101010101010113,1.3101010101010113,0.006733923684805632,0,0,204,284,1.3534347826086959,1.3101010101010113
"Lightning Power Backpack",5000,5000,0,0,0,0,0,0,18,5000,0
"Flint And Steel",0,0,0,0,0,0,0,0,0,0,0
"Sofa",73.5,73.5,0,0,0,0,0,0,273,73.5,0
"Pile of Golden Horseshoe",0,0,0,0,0,0,0,0,0,0,0
"Poisonous Potato",0.98,0.98,0,0,0,0,0,0,285,0.98,0
"Potato Soup",0,0,0,0,0,0,0,0,0,0,0
"Clover Wine",0,0,0,0,0,0,0,0,0,0,0
"Bowl",0,0,0.02,0.02,0,0,0,0,285,0,0.02
"ORIGIN-12",0,0,0,0,0,0,0,0,0,0,0
"Bike",73.5,73.5,0,0,0,0,0,2,285,73.5,0
"Hay Block",0,0,0,0,0,0,0,0,0,0,0
"Arrow",0.8613281250000003,0.5053125,0.8945312499999996,0.8945312499999996,0.7045454382896423,0,0,465,285,0.8613281250000003,0.8945312499999996
"Lime Shulker Box",1500,1500,0,0,0,0,0,0,285,1500,0
"Tropical Fish",1.96,1.96,1.5,1.5,0,0,0,0,285,1.96,1.5
"Bookstack",0,0,0,0,0,0,0,0,0,0,0
"Jungle Wood",3,3,2,2,0,0,0,0,285,3,2
"Display Screen",0,0,0,0,0,0,0,0,0,0,0
"Spruce Log",0.39987401574803183,0.3962858527131787,0.2826121794871795,0.277109375,-0.00897323340177536,-0.019471222534775734,32,224,285,0.3962858527131787,0.277109375
"Cozy Garden Sofa Swing",0,0,0,0,0,0,0,0,0,0,0
"Standing Loom",0,0,0,0,0,0,0,0,0,0,0
"Mutton",7.349999999999997,7.349999999999997,1.899999999999999,1.899999999999999,0,0,0,0,285,7.349999999999997,1.899999999999999
"Black Terracotta",0.459375,0.459375,0,0,0,0,0,0,285,0.459375,0
"Furnace",0,0,0,0,0,0,0,0,0,0,0
"Pancakes",0,0,0,0,0,0,0,0,0,0,0
"Brown Terracotta",0,0,0.5,0.5,0,0,0,0,284,0,0.5
"Azalea",0.49,0.49,0,0,0,0,0,0,284,0.49,0
"Blue Orchid",0.9800000000000002,0.9800000000000002,0,0,0,0,0,0,284,0.9800000000000002,0
"Fox Spawn Egg",0,0,0,0,0,0,0,0,0,0,0
"Ironing Board",0,0,0,0,0,0,0,0,0,0,0
"Garden Cart",0,0,0,0,0,0,0,0,0,0,0
"MOGG Contester",784,784,0,0,0,0,0,0,284,784,0
"Stripped Dark Oak Log",0,0,0,0,0,0,0,0,0,0,0
"Ancient Debris",4.638922018348614,4.638922018348614,4.755617977528095,4.752954545454551,0,-0.0005600601434707642,0,0,284,4.638922018348614,4.752954545454551
"Book Lamp",0,0,0,0,0,0,0,0,0,0,0
"Table Towel (Black)",0,0,0,0,0,0,0,0,0,0,0
"Blacksmith Anvil",73.5,73.5,0,0,0,0,0,1,284,73.5,0
"Fish and Chips",0,0,0,0,0,0,0,0,0,0,0
"White Stained Glass",0.7349999999999997,0.7349999999999997,0,0,0,0,0,0,284,0.7349999999999997,0
"Green Terracotta",0.7643999999999999,0.7643999999999999,0,0,0,0,0,0,284,0.7643999999999999,0
"Pink Tulip",0,0,0,0,0,0,0,0,0,0,0
"Netherite Helmet",70.62465609756097,70.47720256410256,60,60,-0.0020878477953374386,0,0,0,284,70.47720256410256,60
"Truthfully",4.071428571428571,3.8125,3,3,-0.03391812741756439,0,0,38,273,3.933333333333333,3
"Mud Bricks",4.9,4.9,0.46875,0.46875,0,0,0,0,284,4.9,0.46875
"Counter (White)",0,0,0,0,0,0,0,0,0,0,0
"Postcards stand",0,0,0,0,0,0,0,0,0,0,0
"Amulance",0,0,0,0,0,0,0,0,0,0,0
"Rabbit Hide",0,0,0,0,0,0,0,0,0,0,0
"White Concrete Powder",0.5308333333333334,0.5308333333333334,0,0,0,0,0,0,284,0.5308333333333334,0
"Soybean",0.5711049107142857,0.5711049107142857,0.47002314814814816,0.47002314814814816,0,0,0,0,67,0.5711049107142857,0.47002314814814816
